week_date,unit,row,col,artist_type,local_pct
2026-03-12,29,3,9,Local,40
2026-03-12,30,3,10,Local,40
2026-03-12,31,4,1,Local,40
2026-03-12,32,4,2,Local,40
2026-03-12,33,4,3,Local,40
2026-03-12,34,4,4,Local,40
2026-03-12,35,4,5,Local,40
2026-03-12,36,4,6,Local,40
2026-03-12,37,4,7,Local,40
2026-03-12,38,4,8,Local,40
2026-03-12,39,4,9,Local,40
2026-03-12,40,4,10,Local,40
2026-03-12,41,5,1,International,40
2026-03-12,42,5,2,International,40
2026-03-12,43,5,3,International,40
2026-03-12,44,5,4,International,40
2026-03-12,45,5,5,International,40
2026-03-12,46,5,6,International,40
2026-03-12,47,5,7,International,40
2026-03-12,48,5,8,International,40
2026-03-12,49,5,9,International,40
2026-03-12,50,5,10,International,40
2026-03-12,51,6,1,International,40
2026-03-12,52,6,2,International,40
2026-03-12,53,6,3,International,40
2026-03-12,54,6,4,International,40
2026-03-12,55,6,5,International,40
2026-03-12,56,6,6,International,40
2026-03-12,57,6,7,International,40
2026-03-12,58,6,8,International,40
2026-03-12,59,6,9,International,40
2026-03-12,60,6,10,International,40
2026-03-12,61,7,1,International,40
2026-03-12,62,7,2,International,40
2026-03-12,63,7,3,International,40
2026-03-12,64,7,4,International,40
2026-03-12,65,7,5,International,40
2026-03-12,66,7,6,International,40
2026-03-12,67,7,7,International,40
2026-03-12,68,7,8,International,40
2026-03-12,69,7,9,International,40
2026-03-12,70,7,10,International,40
2026-03-12,71,8,1,International,40
2026-03-12,72,8,2,International,40
2026-03-12,73,8,3,International,40
2026-03-12,74,8,4,International,40
2026-03-12,75,8,5,International,40
2026-03-12,76,8,6,International,40
2026-03-12,77,8,7,International,40
2026-03-12,78,8,8,International,40
2026-03-12,79,8,9,International,40
2026-03-12,80,8,10,International,40
2026-03-12,81,9,1,International,40
2026-03-12,82,9,2,International,40
2026-03-12,83,9,3,International,40
2026-03-12,84,9,4,International,40
2026-03-12,85,9,5,International,40
2026-03-12,86,9,6,International,40
2026-03-12,87,9,7,International,40
2026-03-12,88,9,8,International,40
2026-03-12,89,9,9,International,40
2026-03-12,90,9,10,International,40
2026-03-12,91,10,1,International,40
2026-03-12,92,10,2,International,40
2026-03-12,93,10,3,International,40
2026-03-12,94,10,4,International,40
2026-03-12,95,10,5,International,40
2026-03-12,96,10,6,International,40
2026-03-12,97,10,7,International,40
2026-03-12,98,10,8,International,40
2026-03-12,99,10,9,International,40
2026-03-12,100,10,10,International,40
2026-03-19,1,1,1,Local,55
2026-03-19,2,1,2,Local,55
2026-03-19,3,1,3,Local,55
2026-03-19,4,1,4,Local,55
2026-03-19,5,1,5,Local,55
2026-03-19,6,1,6,Local,55
2026-03-19,7,1,7,Local,55
2026-03-19,8,1,8,Local,55
2026-03-19,9,1,9,Local,55
2026-03-19,10,1,10,Local,55
2026-03-19,11,2,1,Local,55
2026-03-19,12,2,2,Local,55
2026-03-19,13,2,3,Local,55
2026-03-19,14,2,4,Local,55
2026-03-19,15,2,5,Local,55
2026-03-19,16,2,6,Local,55
2026-03-19,17,2,7,Local,55
2026-03-19,18,2,8,Local,55
2026-03-19,19,2,9,Local,55
2026-03-19,20,2,10,Local,55
2026-03-19,21,3,1,Local,55
2026-03-19,22,3,2,Local,55
2026-03-19,23,3,3,Local,55
2026-03-19,24,3,4,Local,55
2026-03-19,25,3,5,Local,55
2026-03-19,26,3,6,Local,55
2026-03-19,27,3,7,Local,55
2026-03-19,28,3,8,Local,55
2026-03-19,29,3,9,Local,55
2026-03-19,30,3,10,Local,55
2026-03-19,31,4,1,Local,55
